CreatedDate,ClosedDate,Time,Longitude,Latitude,Agency,Borough
2015-01-12,2015-01-12,3,-73.9392530229051,40.6998842668277,NYPD,BROOKLYN
2015-04-03,2015-04-10,15,-73.8282802587716,40.7553920446811,DOT,QUEENS
2015-12-25,2015-12-25,0,-73.9444039515788,40.6858034585213,NYPD,BROOKLYN
2015-11-30,2016-04-14,11,-73.9216318654213,40.8287886820609,DOB,BRONX
2015-11-03,2015-11-04,6,-73.9512621899307,40.7742919962005,DSNY,MANHATTAN
2015-06-22,2015-06-24,24,-73.8541715214233,40.6578292902326,DOB,QUEENS
2015-09-14,2015-09-15,18,-73.9796143564995,40.7182582130745,NYPD,MANHATTAN
2015-09-23,2015-09-30,22,-73.9369507686037,40.8423981207543,HPD,MANHATTAN
2015-04-10,2015-04-11,18,-73.917190465335,40.8524092954496,NYPD,BRONX
2015-08-06,2015-08-12,7,-73.9933501773977,40.6229255204939,DOB,BROOKLYN
2015-09-20,2015-10-14,24,-73.8269998604836,40.7911568826783,DOT,QUEENS
2015-12-05,2015-12-09,10,-73.9263935113698,40.6956415841841,HPD,BROOKLYN
2015-01-12,2015-02-12,14,-73.9179689284135,40.6725660707155,DOB,BROOKLYN
2015-09-09,2015-09-10,16,-73.9393345704126,40.6895337865641,DSNY,BROOKLYN
2015-04-20,2015-04-24,10,-73.9183886409243,40.6153348397859,DOHMH,BROOKLYN
2015-09-17,2015-09-17,1,-73.8447540330558,40.7336193317693,NYPD,QUEENS
2015-10-13,2015-10-13,1,-73.9732035518629,40.7551024628109,DOHMH,MANHATTAN
2015-03-24,2015-03-24,5,-73.8958564013914,40.7323594030642,NYPD,QUEENS
2015-10-13,2015-10-22,20,-73.8538630932462,40.8084941123108,HPD,BRONX
2015-08-13,2015-08-13,14,-73.7425842061067,40.7152823636567,DSNY,QUEENS
2015-02-02,2015-02-02,11,-73.9557791530252,40.7140959573641,NYPD,BROOKLYN
2015-07-10,2016-01-31,11,-73.759336535494,40.7102709669851,DOB,QUEENS
2015-04-03,2015-04-04,21,-74.0790630903745,40.6199478740217,NYPD,STATEN ISLAND
2015-01-18,2015-01-18,24,-74.0329732500025,40.6259869154647,NYPD,BROOKLYN
2015-09-14,2015-09-28,19,-73.9512783182867,40.7275736530874,HPD,BROOKLYN
2015-10-09,2015-10-09,11,-73.959580998618,40.8154826238295,NYPD,MANHATTAN
2015-08-17,2015-08-17,16,-73.990372700548,40.6367041504935,DOT,BROOKLYN
2015-07-05,2015-07-05,5,-73.9547194956978,40.6756550634824,NYPD,BROOKLYN
2015-09-12,2015-09-12,17,-73.8048086570275,40.7243553626835,NYPD,QUEENS
2015-07-02,2015-07-07,15,-73.9049925736792,40.6056875692149,DOT,BROOKLYN
2015-05-31,2015-05-31,9,-73.9449012285219,40.8214490524118,NYPD,MANHATTAN
2015-09-06,2015-09-06,0,-73.9294787487827,40.8540642837557,NYPD,MANHATTAN
2015-10-22,2015-10-22,14,-73.9867148158265,40.7674479236637,NYPD,MANHATTAN
2015-09-12,2015-10-05,16,-73.8478694915788,40.6902836324443,HPD,QUEENS
2015-09-02,2015-09-10,18,-73.9589484177648,40.7340652448076,DEP,BROOKLYN
2015-12-23,2016-03-21,16,-73.95992397419,40.5818895027004,HPD,BROOKLYN
2015-07-22,2015-07-24,24,-73.8976297284121,40.8580806217897,DSNY,BRONX
2015-10-18,2015-10-24,18,-73.9817286159896,40.6776881663662,HPD,BROOKLYN
2015-10-26,2015-11-01,10,-73.8741489652307,40.7440688083688,HPD,QUEENS
2015-09-06,2015-09-12,24,-73.8829927385049,40.6688907497431,HPD,BROOKLYN
2015-07-26,2015-07-26,17,-73.9755008776844,40.6915288927901,NYPD,BROOKLYN
2015-08-20,2015-09-04,8,-73.7501203933584,40.7574722677981,DPR,QUEENS
2015-04-28,2015-04-28,10,-73.8070694093462,40.820771082927,DSNY,BRONX
2015-09-07,2015-09-07,0,-73.8414511292769,40.6871678836875,NYPD,QUEENS
2015-11-26,2015-11-26,9,-74.028726369226,40.635312102898,DEP,BROOKLYN
2015-10-13,2015-12-29,17,-73.9808279446106,40.7507069000386,TLC,MANHATTAN
2015-02-24,2015-02-25,6,-73.9657843483838,40.7586329850497,DEP,MANHATTAN
2015-04-23,2015-04-23,9,-74.0024361840406,40.7500497304122,DEP,MANHATTAN
2015-05-12,2015-05-12,1,-73.9616955863762,40.6879432007764,NYPD,BROOKLYN
2015-11-12,2015-11-16,11,-74.1074912899362,40.6334923139939,DOB,STATEN ISLAND
2015-06-29,2015-07-02,17,-73.9092258568889,40.620339962983,DEP,BROOKLYN
2015-11-10,2015-11-11,19,-73.8526619281504,40.8729795977448,NYPD,BRONX
2015-10-19,2015-10-20,9,-73.9979797001047,40.7226625935217,DSNY,MANHATTAN
2015-06-22,2015-06-25,10,-73.9742154355067,40.6772969700349,DEP,BROOKLYN
